index,Self reporting sick with Chikungunya virus,Reporting others are sick with Chikungunya virus,Someone (including self) is showing symptoms. Maybe Chikungunya?,Country/City/State Case Counts,News or awareness tweet,CDC or government agency awareness,People reporting mosquito bites (no symptoms yet),Joke or Irrelevant tweet,People who say they want Chikungunya/or wish it on others,Chikungunya mentioned but in no particular context,Chikungunya mentioned but unclear whether the person has Chikungunya,Song Related,People Who Don’t Have Chikungunya but are afraid of getting it,People Who Don't have Chikungunya,Debate over Spelling/ Comments on Pronunciation,Chikungunya Braclet,Not clear why tweet was selected,Educational ,New Suspected With Lag
6/15/2014,0,0,0,0.4,0.176470588,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,119
6/22/2014,0.068965517,0,0,0.4,0.235294118,0.181818182,0,0.023255814,0.333333333,0,0,0,0,0,0,0,0,0,61
6/29/2014,0.068965517,0,0,0.6,0.058823529,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,121
7/6/2014,0,0.052631579,0,0,0.117647059,0.090909091,0,0.093023256,0,0.1,0,0,0.166666667,0,0,0,0,0.05,202
7/13/2014,0.034482759,0.157894737,0,0.4,0.588235294,1,0.6,0.11627907,0,0,0,0.2,0.333333333,0,0.666666667,0,0,0.35,140
7/20/2014,0.206896552,0.210526316,0.076923077,0,0.411764706,0.454545455,0.4,0.139534884,0,0.4,0.277777778,0.6,0,0,0.333333333,0,0,0.2,390
7/27/2014,0.275862069,0.052631579,0.538461538,0,1,0,0,0.139534884,0.666666667,0.4,0.388888889,0.2,0,0.125,0,0,0,0,563
8/3/2014,0.206896552,0.263157895,0.153846154,0.6,0.588235294,0.090909091,0.2,0.255813953,0.666666667,0.2,0.277777778,0,0,0,0.333333333,0,0,0,953
8/10/2014,0.103448276,0.157894737,0.153846154,1,0.294117647,0,0.4,0.139534884,0,0.1,0.166666667,1,0.166666667,0.0625,0.333333333,0,0,0.1,1174
8/17/2014,0.310344828,0.210526316,0.307692308,0.4,0.294117647,0.181818182,0.8,0.186046512,1,0.2,0.166666667,0,0.5,0,0.333333333,0,0,0.05,356
8/24/2014,0.413793103,0.421052632,0.384615385,0.6,0.235294118,0,0.2,0.209302326,0.333333333,0.1,0.333333333,0,0,0,0.666666667,0.2,0,0,762
8/31/2014,0.517241379,0.842105263,0.846153846,0,0.470588235,0,0.4,0.302325581,0,0.5,0.277777778,0,0,0.1875,1,0,0,0.25,530
9/7/2014,0.655172414,0.526315789,0.076923077,0,0.176470588,0,1,0.418604651,0,0.3,0.277777778,0.4,1,0.625,0.333333333,0.2,0.043478261,0.1,906
9/14/2014,0.965517241,0.736842105,0.615384615,0.8,0.058823529,0.090909091,0.2,0.302325581,0.666666667,0.3,0.5,0.2,0.166666667,0.3125,1,0.6,0,0.1,1029
9/21/2014,0.586206897,0.736842105,0.461538462,0.6,0.235294118,0.181818182,1,0.511627907,0.333333333,1,0.777777778,0,0,0.8125,0.333333333,0,0,0.1,730
9/28/2014,0.793103448,1,1,0,0.823529412,0.181818182,0.8,0.930232558,0.333333333,0.8,0.944444444,0.4,0.833333333,1,0,1,0.043478261,1,2437
10/5/2014,0.448275862,0.526315789,0.384615385,0.2,1,0.363636364,0.4,1,0.333333333,0.6,0.833333333,0.2,0.333333333,0.25,0,0,1,0.1,1380
10/12/2014,1,0.473684211,0.153846154,0.2,0.058823529,0,0.2,0.279069767,0.333333333,0.2,0.5,0,0.166666667,0.125,0.333333333,0,0,0.15,1371
10/19/2014,0.620689655,0.315789474,0.230769231,0,0.411764706,0.090909091,0.4,0.325581395,0,0.1,0.333333333,0,0.333333333,0,0,0.2,0.043478261,0,1363
10/26/2014,0.379310345,0.210526316,0.153846154,0,0.352941176,0,0,0.209302326,0.666666667,0.2,0.277777778,0.4,0,0.125,0.333333333,0,0,0.1,1163
11/2/2014,0.310344828,0.210526316,0,0,0.117647059,0,0,0.209302326,0.333333333,0.2,0.166666667,0.2,0,0.0625,0,0,0,0,1036
11/9/2014,0.413793103,0.052631579,0.153846154,0.4,0,0,0,0.139534884,0,0.2,1,0.2,0,0.0625,0,0,0,0,3984
11/30/2014,0.068965517,0,0.076923077,0.2,0.058823529,0,0,0.023255814,0,0,0,0,0,0.0625,0,0,0,0,1679
12/7/2014,0.103448276,0,0,0,0.117647059,0,0.4,0.023255814,0,0,0.111111111,0,0,0.0625,0,0,0,0,1661
12/21/2014,0.103448276,0.105263158,0.230769231,0.4,0,0,0.2,0.11627907,0,0.2,0.222222222,0.4,0,0.1875,0,0,0,0,239
