Predicted	Real
180.761594354	119
176.988914242	61
176.262770224	121
242.207291416	202
552.703849192	140
587.150625104	390
513.622265496	563
455.093097247	953
557.93479371	1174
539.868517179	356
476.140906232	762
722.8123476	530
1059.52265524	906
864.567142284	1029
1219.901385	730
2147.46184548	2437
1376.20296552	1380
659.849358862	1371
546.584251553	1363
542.117929244	1163
367.380599425	1036
667.427220907	3984
184.501772646	1679
276.75157279	1661
434.187248287	239
self	others	symptoms	News or awareness tweet	cdc or gov	joke or irrelevant	other related	New Suspected With Lag	
0.0	0.0	0.0	2.24941206483	0.0	8.23900242139	22.5000970198	
