Predicted	Real
-371.601270178	119.0
-230.361940623	61.0
-385.008161441	121.0
-414.555196739	202.0
248.955511196	140.0
327.130571715	390.0
919.416346324	563.0
391.531266056	953.0
68.0101764834	1174.0
324.18972224	356.0
389.98723964	762.0
863.93766996	530.0
961.76878939	906.0
1202.11527132	1029.0
958.006192061	730.0
2249.65927487	2437.0
1371.40533789	1380.0
1148.12022488	1371.0
865.274099132	1363.0
478.321270018	1163.0
66.4057561814	1036.0
295.524834615	3984.0
-385.008161441	1679.0
-228.450443702	1661.0
-275.681647387	239.0
self	others	symptoms	News or awareness tweet	cdc or gov	joke or irrelevant	other related	New Suspected With Lag	
2063.99339712	0.0	0.0	2345.53816064	0.0	0.0	541.473161025	
