	Chikungunya	Chikv	rash	high fever	joint pain	nausea	vomit	photophobia	arthralgia	Dengue	flu	sick	cough	
2014-01-04 19:00:00	0	0	5	0	0	1	0	0	0	0	3	33	2	
2014-01-11 19:00:00	0	0	8	0	0	1	1	0	0	0	1	30	4	
2014-01-18 19:00:00	0	0	4	0	0	0	1	0	0	2	0	23	1	
2014-01-25 19:00:00	0	0	2	0	0	0	2	0	0	1	1	19	5	
2014-02-01 19:00:00	0	0	1	1	0	2	3	0	0	3	0	24	2	
2014-02-08 19:00:00	0	0	0	0	0	1	1	0	0	2	2	14	2	
2014-02-15 19:00:00	0	0	3	0	0	1	0	0	0	2	0	26	3	
2014-02-22 19:00:00	0	0	0	0	0	0	1	0	0	0	1	24	3	
2014-03-01 19:00:00	0	0	2	0	0	1	1	0	0	0	1	26	2	
2014-03-08 19:00:00	0	0	1	0	0	0	0	0	0	0	0	25	2	
2014-03-15 20:00:00	0	0	1	0	0	0	1	0	0	0	0	32	1	
2014-03-22 20:00:00	0	0	4	0	0	0	3	0	0	0	0	23	1	
2014-03-29 20:00:00	0	0	1	0	0	2	1	0	0	4	0	22	3	
2014-04-05 20:00:00	0	0	1	0	0	0	3	0	0	2	1	19	2	
2014-04-12 20:00:00	0	0	5	0	0	1	3	0	0	3	3	24	14	
2014-04-19 20:00:00	3	0	11	0	0	0	8	0	0	1	5	36	11	
2014-04-26 20:00:00	1	0	2	0	0	2	3	0	0	1	2	48	7	
2014-05-03 20:00:00	1	0	2	0	0	2	4	0	0	2	2	34	8	
2014-05-10 20:00:00	1	0	3	0	0	2	3	0	0	3	1	41	5	
2014-05-17 20:00:00	2	0	5	0	0	0	6	0	0	1	0	53	11	
2014-05-24 20:00:00	15	0	8	0	0	1	0	0	0	2	2	59	9	
2014-05-31 20:00:00	5	0	9	0	0	1	3	0	0	2	5	55	3	
2014-06-07 20:00:00	2	0	4	0	0	1	3	0	0	3	3	57	8	
2014-06-14 20:00:00	6	0	9	0	0	2	3	0	0	2	1	38	4	
2014-06-21 20:00:00	11	0	12	0	0	2	5	0	0	6	4	46	6	
2014-06-28 20:00:00	7	0	10	0	0	1	4	0	0	4	3	44	13	
2014-07-05 20:00:00	11	0	5	0	0	0	5	0	0	3	3	55	6	
2014-07-12 20:00:00	47	0	11	0	0	1	4	0	0	7	1	60	16	
2014-07-19 20:00:00	48	0	15	0	0	1	1	0	0	5	1	57	4	
2014-07-26 20:00:00	55	0	10	0	0	1	6	0	0	10	4	44	10	
2014-08-02 20:00:00	49	0	4	0	1	3	7	0	0	11	0	53	12	
2014-08-09 20:00:00	39	0	10	0	0	0	6	0	0	12	3	55	7	
2014-08-16 20:00:00	51	0	3	0	0	0	2	0	0	6	2	60	10	
2014-08-23 20:00:00	52	0	14	0	0	2	3	0	0	10	1	47	5	
2014-08-30 20:00:00	82	0	11	0	0	3	2	0	0	16	0	57	8	
2014-09-06 20:00:00	86	0	14	0	0	0	2	0	0	16	3	65	9	
2014-09-13 20:00:00	100	0	10	0	0	1	4	0	0	15	1	47	13	
2014-09-20 20:00:00	112	0	15	0	0	0	1	0	0	9	1	44	2	
2014-09-27 20:00:00	194	0	4	0	0	0	0	0	0	28	5	30	5	
2014-10-04 20:00:00	149	0	12	0	0	0	1	0	0	6	3	38	6	
2014-10-11 20:00:00	76	0	13	0	0	2	1	0	0	8	0	26	4	
2014-10-18 20:00:00	62	1	7	0	0	1	1	0	0	4	2	28	4	
2014-10-25 20:00:00	48	0	6	0	0	0	0	0	0	6	1	26	5	
2014-11-01 20:00:00	32	0	6	0	0	2	3	0	0	6	1	28	7	
2014-11-08 19:00:00	28	0	5	0	0	1	0	0	0	4	1	20	5	
2014-11-15 19:00:00	4	0	3	0	0	0	1	0	0	0	0	9	2	
2014-11-22 19:00:00	13	0	6	0	0	3	0	0	0	1	0	34	6	
2014-11-29 19:00:00	7	0	1	0	0	3	3	0	0	1	1	44	5	
2014-12-06 19:00:00	5	0	5	0	0	0	2	0	0	2	5	33	3	
2014-12-13 19:00:00	6	0	6	0	0	2	2	0	0	3	2	33	2	
2014-12-20 19:00:00	10	0	3	0	0	0	1	0	0	1	0	40	2	
2014-12-27 19:00:00	17	0	2	0	0	0	6	0	0	2	2	37	5	
2015-01-03 19:00:00	12	0	3	0	0	1	4	0	0	2	2	38	7	
2015-01-10 19:00:00	3	0	2	0	0	0	0	0	0	0	1	38	2	
