	Chikungunya	#Chikungunya	Chikv	rash	high fever	joint pain	nausea	vomit	photophobia	arthralgia	Dengue	flu	sick	cough	
2014-01-04 19:00:00	0	0	0	8	0	0	14	23	0	0	0	25	36	2	
2014-01-11 19:00:00	0	0	0	10	0	0	9	30	0	0	0	23	34	5	
2014-01-18 19:00:00	0	0	0	7	0	0	16	22	0	0	2	28	25	3	
2014-01-25 19:00:00	0	0	0	5	0	0	13	27	0	0	1	16	26	5	
2014-02-01 19:00:00	0	0	0	10	1	0	16	18	0	0	3	23	26	2	
2014-02-08 19:00:00	0	0	0	6	0	0	10	18	0	0	2	25	17	3	
2014-02-15 19:00:00	0	0	0	7	0	0	14	21	0	0	2	12	27	3	
2014-02-22 19:00:00	0	0	1	2	0	0	6	16	0	0	0	24	32	4	
2014-03-01 19:00:00	0	0	0	8	0	0	8	24	0	0	0	21	29	2	
2014-03-08 19:00:00	0	0	0	3	0	0	7	25	0	0	0	13	28	2	
2014-03-15 20:00:00	0	0	0	2	0	0	9	18	0	0	0	16	39	1	
2014-03-22 20:00:00	0	0	0	4	0	0	7	16	0	0	0	19	27	1	
2014-03-29 20:00:00	0	0	0	4	0	0	15	25	0	0	4	23	25	5	
2014-04-05 20:00:00	0	0	0	6	0	0	5	26	0	0	2	17	23	2	
2014-04-12 20:00:00	0	0	0	23	0	0	14	54	0	0	3	39	29	17	
2014-04-19 20:00:00	3	0	0	20	0	0	34	60	0	0	1	61	44	13	
2014-04-26 20:00:00	1	0	0	10	0	0	30	38	0	0	1	49	52	9	
2014-05-03 20:00:00	1	0	0	4	0	0	26	59	0	0	2	62	41	10	
2014-05-10 20:00:00	1	0	0	7	0	0	28	64	0	0	3	49	48	5	
2014-05-17 20:00:00	2	0	0	20	0	0	25	55	0	0	1	48	62	11	
2014-05-24 20:00:00	15	0	0	41	0	0	32	40	0	0	2	63	63	11	
2014-05-31 20:00:00	5	0	0	31	0	0	28	55	0	0	2	78	64	5	
2014-06-07 20:00:00	2	0	0	24	0	0	26	62	0	0	3	83	60	13	
2014-06-14 20:00:00	6	0	0	37	0	0	40	82	0	0	2	64	45	6	
2014-06-21 20:00:00	11	0	0	56	0	0	26	60	0	0	6	59	54	6	
2014-06-28 20:00:00	7	0	0	31	0	0	28	62	0	0	4	71	48	15	
2014-07-05 20:00:00	11	0	0	64	0	0	19	76	0	0	3	56	59	6	
2014-07-12 20:00:00	48	1	0	62	0	0	23	101	0	0	7	40	67	19	
2014-07-19 20:00:00	49	0	0	66	0	0	19	68	0	0	5	70	61	6	
2014-07-26 20:00:00	55	0	0	52	0	0	50	77	0	0	10	58	59	13	
2014-08-02 20:00:00	52	0	0	33	0	1	21	73	0	0	11	65	60	17	
2014-08-09 20:00:00	40	0	0	30	0	0	23	69	0	0	12	81	64	7	
2014-08-16 20:00:00	51	0	0	27	0	0	34	52	0	0	6	51	66	11	
2014-08-23 20:00:00	53	0	0	26	0	0	25	50	0	0	10	56	52	6	
2014-08-30 20:00:00	84	0	0	29	0	0	30	39	0	0	16	51	64	9	
2014-09-06 20:00:00	89	0	0	33	0	0	32	48	0	0	21	114	70	9	
2014-09-13 20:00:00	100	0	0	17	0	0	23	45	0	0	15	33	52	15	
2014-09-20 20:00:00	115	0	0	47	0	0	17	44	0	0	10	42	46	4	
2014-09-27 20:00:00	196	0	0	18	0	0	16	27	0	0	28	66	35	10	
2014-10-04 20:00:00	152	0	0	19	0	0	21	33	0	0	6	67	41	6	
2014-10-11 20:00:00	76	0	0	28	0	0	18	32	0	0	8	54	30	6	
2014-10-18 20:00:00	64	0	1	57	0	0	12	29	0	0	4	43	31	6	
2014-10-25 20:00:00	50	0	0	10	0	0	14	26	0	0	6	49	28	5	
2014-11-01 20:00:00	35	0	0	21	0	0	15	22	0	0	6	45	29	8	
2014-11-08 19:00:00	28	0	0	14	0	0	19	28	0	0	4	57	22	5	
2014-11-15 19:00:00	4	0	0	4	0	0	12	6	0	0	0	47	10	3	
2014-11-22 19:00:00	14	0	0	24	0	0	21	33	0	0	1	55	38	6	
2014-11-29 19:00:00	7	0	0	3	0	0	17	26	0	0	1	54	52	5	
2014-12-06 19:00:00	5	0	0	7	0	0	12	23	0	0	2	55	35	4	
2014-12-13 19:00:00	6	0	0	14	0	0	15	27	0	0	3	45	34	2	
2014-12-20 19:00:00	10	0	0	6	0	0	15	28	0	0	1	62	44	3	
2014-12-27 19:00:00	17	0	0	6	0	0	18	38	0	0	2	61	40	5	
2015-01-03 19:00:00	12	0	0	6	0	0	17	33	0	0	2	58	44	12	
2015-01-10 19:00:00	4	0	1	12	0	0	17	14	0	0	0	44	41	5	
