	Chikungunya	#Chikungunya	Chikv	rash	high fever	joint pain	nausea	vomit	photophobia	arthralgia	Dengue	flu	sick	cough	
2014-01-04 19:00:00	0	0	0	0	0	0	0	0	0	0	0	3	2	0	
2014-01-11 19:00:00	0	0	0	1	0	0	0	2	0	0	0	4	1	0	
2014-01-18 19:00:00	0	0	0	0	0	0	1	0	0	0	0	4	2	0	
2014-01-25 19:00:00	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
2014-02-01 19:00:00	0	0	0	0	0	0	0	2	0	0	0	5	1	1	
2014-02-08 19:00:00	0	0	0	1	0	0	0	0	0	0	1	0	2	2	
2014-02-15 19:00:00	0	0	0	0	0	0	0	3	0	0	0	0	4	1	
2014-02-22 19:00:00	0	0	0	0	0	0	0	3	0	0	0	2	2	2	
2014-03-01 19:00:00	0	0	0	1	0	0	1	2	0	0	0	2	1	0	
2014-03-08 19:00:00	0	0	0	0	0	0	0	3	0	0	0	0	3	0	
2014-03-15 20:00:00	0	0	0	0	0	0	0	1	0	0	0	2	0	0	
2014-03-22 20:00:00	0	0	0	0	0	0	0	1	0	0	0	0	0	1	
2014-03-29 20:00:00	0	0	0	0	0	0	0	4	0	0	3	2	3	1	
2014-04-05 20:00:00	0	0	0	1	0	0	0	1	0	0	1	0	0	0	
2014-04-12 20:00:00	0	0	0	0	0	0	1	5	0	0	0	6	1	0	
2014-04-19 20:00:00	1	0	0	1	0	0	4	5	0	0	0	7	7	1	
2014-04-26 20:00:00	1	0	0	0	0	0	1	4	0	0	0	6	3	1	
2014-05-03 20:00:00	0	0	0	0	0	0	0	9	0	0	0	9	1	2	
2014-05-10 20:00:00	0	0	0	0	0	0	0	8	0	0	0	3	4	0	
2014-05-17 20:00:00	1	0	0	0	0	0	1	2	0	0	0	5	3	1	
2014-05-24 20:00:00	5	0	0	1	0	0	2	1	0	0	0	7	5	0	
2014-05-31 20:00:00	1	0	0	1	0	0	1	3	0	0	0	6	3	0	
2014-06-07 20:00:00	1	0	0	1	0	0	2	4	0	0	0	6	3	0	
2014-06-14 20:00:00	1	0	0	0	0	0	1	7	0	0	1	5	2	0	
2014-06-21 20:00:00	1	0	0	1	0	0	2	8	0	0	0	3	0	0	
2014-06-28 20:00:00	0	0	0	2	0	0	1	2	0	0	0	4	0	0	
2014-07-05 20:00:00	1	0	0	7	0	0	1	7	0	0	0	3	1	0	
2014-07-12 20:00:00	9	0	0	1	0	0	0	12	0	0	0	2	1	0	
2014-07-19 20:00:00	2	0	0	10	0	0	0	4	0	0	0	4	4	0	
2014-07-26 20:00:00	3	0	0	8	0	0	0	4	0	0	1	7	3	0	
2014-08-02 20:00:00	3	0	0	12	0	0	2	3	0	0	0	6	1	0	
2014-08-09 20:00:00	2	0	0	5	0	0	0	7	0	0	0	7	0	1	
2014-08-16 20:00:00	3	0	0	0	0	0	1	5	0	0	0	5	2	0	
2014-08-23 20:00:00	2	0	0	1	0	0	0	6	0	0	1	1	0	0	
2014-08-30 20:00:00	6	0	0	1	0	0	2	2	0	0	1	3	6	0	
2014-09-06 20:00:00	4	0	0	1	0	0	0	3	0	0	5	6	1	0	
2014-09-13 20:00:00	6	0	0	3	0	0	0	4	0	0	0	3	1	0	
2014-09-20 20:00:00	7	0	0	2	0	0	0	7	0	0	1	6	1	0	
2014-09-27 20:00:00	17	0	0	2	0	0	0	1	0	0	6	5	1	2	
2014-10-04 20:00:00	17	0	0	1	0	0	0	8	0	0	0	8	3	0	
2014-10-11 20:00:00	7	0	0	0	0	0	2	3	0	0	0	5	5	0	
2014-10-18 20:00:00	10	0	1	1	0	0	1	1	0	0	3	3	1	0	
2014-10-25 20:00:00	7	0	0	0	0	0	2	2	0	0	2	3	2	1	
2014-11-01 20:00:00	4	0	0	3	0	0	0	1	0	0	1	3	7	1	
2014-11-08 19:00:00	2	0	0	1	0	0	1	2	0	0	1	4	4	0	
2014-11-15 19:00:00	0	0	0	1	0	0	0	0	0	0	0	27	1	1	
2014-11-22 19:00:00	0	0	0	0	0	0	0	3	0	0	0	5	5	0	
2014-11-29 19:00:00	1	0	0	0	0	0	0	2	0	0	0	6	5	1	
2014-12-06 19:00:00	0	0	0	0	0	0	1	10	0	0	0	4	6	1	
2014-12-13 19:00:00	1	0	0	0	0	0	0	2	0	0	0	2	7	1	
2014-12-20 19:00:00	0	0	0	1	0	0	0	1	0	0	0	3	2	0	
2014-12-27 19:00:00	2	0	0	1	0	0	0	3	0	0	1	6	3	0	
2015-01-03 19:00:00	3	0	0	0	0	0	0	1	0	0	0	5	5	4	
2015-01-10 19:00:00	1	0	0	1	0	0	0	1	0	0	0	7	1	0	
