Self reporting sick with Chikungunya virus	Reporting others are sick with Chikungunya virus	Someone (including self) is showing symptoms. Maybe Chikungunya?	Country/City/State Case Counts	News or awareness tweet	CDC or government agency awareness	People reporting mosquito bites (no symptoms yet)	Joke or Irrelevant tweet	People who say they want Chikungunya/or wish it on others	Chikungunya mentioned but in no particular context	Chikungunya mentioned but unclear whether the person has Chikungunya	Song Related	People Who Don’t Have Chikungunya but are afraid of getting it	People Who Don't have Chikungunya	Debate over Spelling/ Comments on Pronunciation	Chikungunya Braclet	Not clear why tweet was selected	Educational 	new suspected	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.78859520939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.5048736141	0.0	44.3849852973	10.6663405207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	6.95927804713	0.0	0.0	0.0	0.0	0.0	36.8774656968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.2648073278	0.0	0.0	24.4726945115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.0	0.0	0.0	36.8061235306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.0	0.0	0.0	75.9501693262	17.6390574688	0.0	0.0	0.0	0.0	0.0	0.0	36.0263041396	0.0	0.0	0.0	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
26.0120032541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
13.5700225641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
45.931234594	0.0	0.0	0.0	0.0	0.0	0.0	26.9139891283	0.0	0.0	0.0	0.0	30.6640859933	0.0	0.0	0.0	0.0	43.7315360606	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.2315645487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.3115708514	
36.1653783999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.757443976	80.1423762963	
36.7295313177	0.0	0.0	0.0	21.7413113691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	250.795080118	0.0	0.0	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.70471582582e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
13.085886852	0.0	0.0	0.0	4.47624351585	0.0	0.0	4.15563374467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	135.829879781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.0	0.0	0.0	866.555916038	0.0	0.0	30.7582179843	0.0	0.0	0.0	80.4053423569	0.0	3.74752361931	0.0	0.0	0.0	0.0	0.0	
0.0	0.0	0.0	869.762038335	0.0	0.0	343.867718184	0.0	0.0	0.0	79.7952643026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
