self	others	symptoms	News or awareness tweet	cdc or gov	joke or irrelevant	other related	New Suspected With Lag
0	0	0	0	0	0	54.44442767	
0	0	0	0	0	3.376570148	64.34034822	
0	0	0	0	0	0	0	
0	0	165.5812176	0	0	12.17607211	0	
9.949472434	0	24.36814153	0	0	20.05166764	0	
0	0	0	0	0	43.9405001	0	
0	0	0	0	0	0	0	
0	0	0	0	0	12.82853061	2.899631418	
0	0	0	0	0	31.77998467	9.492795695	
0	0	0	0	0	0	0	
0	0	0	0	0	17.64281156	6.321745899	
1.904411266	0	0	0	0	20.1127959	8.749079131	
11.77324993	0	0	0	0	5.11217664	7.326644215	
0	0	0	0	0	7.543128052	22.97674204	
0	0	0	0	0	8.464441963	21.73915873	
15.52150067	0	0	4.151697581	0	7.040215522	17.43514655	
14.29930145	0	0	0	0	8.050011519	14.77234342	
0	0	0	0	0	5.579280549	12.50705878	
19.69092817	0	0	0	0	8.871210859	11.6525451	
14.23272166	0	0	0	0	0	21.40343766	
19.63203178	0	0	0	0	0	18.77430259	
2.599968192	0	0	0	0	0	19.27130957	
