self	others	News or awareness tweet	joke or irrelevant	other related
0	0	0	0	0.846194172
0	0	0	0.076844145	1
0	0	0	0	0
0.41251046	0	0	0.277103631	0
0.505282044	0	0	0.45633681	0
0	0	0	1	0
0	0	0	0	0
0	0	0	0.291952312	0.045067077
0	0	0	0.723250409	0.147540322
0	0	0	0	0
0	0	0	0.401515948	0.098254767
0.09671516	0	0	0.45772797	0.135981221
0.597902233	0	0	0.11634316	0.113873245
0	0	0	0.171666868	0.357112491
0	0	0	0.192634174	0.337877542
0.788256426	0	1	0.160221561	0.270983093
0.726187274	0	0	0.183202547	0.229596883
0	0	0	0.126973533	0.194389044
1	0	0	0.20189144	0.181107896
0.722806032	0	0	0	0.332659649
0.997008958	0	0	0	0.29179672
0.132038885	0	0	0	0.299521375
