Numbers	Ratios	NumbersLagged	RatiosLagged
3.96252365154	39.6666666667	60.0	60.0
0.0025	2.76051614898	14.2468376837	14.4777816374
2.0	675.353761386	100.6	100.6
11.99	163.107751923	111.350947138	107.166666667
15.9874285714	62.2054278025	400.303323575	429.190695035
11.9896012591	298.099592681	351.888772227	313.948308626
5.99876484843	169.298391113	486.411485214	275.542686283
17.9755168105	254.495711537	380.50589253	779.541220879
23.9829090909	556.621209771	349.867196044	365.453631486
29.9783333333	76.62451229	403.416666667	636.825176704
37.972	878.785984305	528.490932512	656.096612418
2.01	340.823541114	195.715254681	305.47683113
87.9233333333	941.856912694	1163.14218548	487.066666667
45.970125	1364.82091902	586.22666846	593.877435536
25.9918823529	558.591033624	719.767799839	633.662372628
57.9603333333	519.249583719	658.5	349.444120469
35.9844210526	1018.78169447	696.0	720.18277472
21.9992	815.416927993	736.064941664	738.913641573
18.0032380952	620.83598478	741.371730266	662.66135509
23.9970909091	681.932769593	783.4668542	422.464624717
4.0172173913	436.502325817	395.574646238	459.33910783
6.0145	831.571835821	876.45135167	708.532018051
6.01392	897.96	
