period beginning,Self,Others,News,Irrelevant,Relevant,Suspected
6/15/2014,0.00,0.00,5.00,0.00,1.00,119
6/22/2014,2.00,0.00,8.00,2.00,0.00,61
6/29/2014,2.00,0.00,4.00,0.00,1.00,121
7/6/2014,0.00,1.00,3.00,4.00,2.00,202
7/13/2014,1.00,3.00,23.00,8.00,5.00,140
7/20/2014,7.00,4.00,12.00,10.00,11.00,390
7/27/2014,15.00,1.00,17.00,11.00,11.00,563
8/3/2014,8.00,5.00,14.00,14.00,8.00,953
8/10/2014,5.00,3.00,10.00,13.00,7.00,1174
8/17/2014,13.00,4.00,9.00,12.00,12.00,356
8/24/2014,17.00,8.00,7.00,12.00,9.00,762
8/31/2014,26.00,16.00,8.00,19.00,12.00,530
9/7/2014,20.00,10.00,3.00,32.00,20.00,906
9/14/2014,36.00,14.00,6.00,24.00,17.00,1029
9/21/2014,23.00,14.00,9.00,37.00,29.00,730
9/28/2014,36.00,19.00,16.00,60.00,39.00,2437
10/5/2014,18.00,10.00,22.00,72.00,25.00,1380
10/12/2014,31.00,9.00,2.00,16.00,13.00,1371
10/19/2014,21.00,6.00,8.00,15.00,12.00,1363
10/26/2014,13.00,4.00,6.00,16.00,7.00,1163
11/2/2014,9.00,4.00,2.00,12.00,5.00,1036
11/9/2014,14.00,1.00,2.00,8.00,20.00,3984
11/30/2014,3.00,0.00,2.00,2.00,0.00,1679
12/7/2014,3.00,0.00,2.00,2.00,4.00,1661
12/21/2014,6.00,2.00,2.00,10.00,7.00,239
