period beginning,Self reporting sick with Chikungunya virus,Reporting others are sick with Chikungunya virus,Someone (including self) is showing symptoms. Maybe Chikungunya?,Country/City/State Case Counts,News or awareness tweet,CDC or government agency awareness,People reporting mosquito bites (no symptoms yet),Joke or Irrelevant tweet,People who say they want Chikungunya/or wish it on others,Chikungunya mentioned but in no particular context,Chikungunya mentioned but unclear whether the person has Chikungunya,Song Related,People Who Don’t Have Chikungunya but are afraid of getting it,People Who Don't have Chikungunya,Debate over Spelling/ Comments on Pronunciation,Chikungunya Braclet,Not clear why tweet was selected,Educational ,new suspected
6/15/2014,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,119
6/22/2014,2,0,0,2,4,2,0,1,1,0,0,0,0,0,0,0,0,0,61
6/29/2014,2,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,121
7/6/2014,0,1,0,0,2,1,0,4,0,1,0,0,1,0,0,0,0,1,202
7/13/2014,1,3,0,2,10,11,3,5,0,0,0,1,2,0,2,0,0,7,140
7/20/2014,6,4,1,0,7,5,2,6,0,4,5,3,0,0,1,0,0,4,390
7/27/2014,8,1,7,0,17,0,0,6,2,4,7,1,0,2,0,0,0,0,563
8/3/2014,6,5,2,3,10,1,1,11,2,2,5,0,0,0,1,0,0,0,953
8/10/2014,3,3,2,5,5,0,2,6,0,1,3,5,1,1,1,0,0,2,1174
8/17/2014,9,4,4,2,5,2,4,8,3,2,3,0,3,0,1,0,0,1,356
8/24/2014,12,8,5,3,4,0,1,9,1,1,6,0,0,0,2,1,0,0,762
8/31/2014,15,16,11,0,8,0,2,13,0,5,5,0,0,3,3,0,0,5,530
9/7/2014,19,10,1,0,3,0,5,18,0,3,5,2,6,10,1,1,1,2,906
9/14/2014,28,14,8,4,1,1,1,13,2,3,9,1,1,5,3,3,0,2,1029
9/21/2014,17,14,6,3,4,2,5,22,1,10,14,0,0,13,1,0,0,2,730
9/28/2014,23,19,13,0,14,2,4,40,1,8,17,2,5,16,0,5,1,20,2437
10/5/2014,13,10,5,1,17,4,2,43,1,6,15,1,2,4,0,0,23,2,1380
10/12/2014,29,9,2,1,1,0,1,12,1,2,9,0,1,2,1,0,0,3,1371
10/19/2014,18,6,3,0,7,1,2,14,0,1,6,0,2,0,0,1,1,0,1363
10/26/2014,11,4,2,0,6,0,0,9,2,2,5,2,0,2,1,0,0,2,1163
11/2/2014,9,4,0,0,2,0,0,9,1,2,3,1,0,1,0,0,0,0,1036
11/9/2014,12,1,2,2,0,0,0,6,0,2,18,1,0,1,0,0,0,0,3984
11/30/2014,2,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1679
12/7/2014,3,0,0,0,2,0,2,1,0,0,2,0,0,1,0,0,0,0,1661
12/21/2014,3,2,3,2,0,0,1,5,0,2,4,2,0,3,0,0,0,0,239
