index,self reporting,reporting for others,showing symptoms,reporting counts,news general awareness,cdc gov awareness,mosquito bites,want to get or wish on others,mentions but no context,mentioned but unclear if having,song,afraid of getting,do not have,spelling or pronunciation,bracelet,Educational ,new suspected
1/5/2014 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/12/2014 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/19/2014 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/26/2014 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2/2014 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/9/2014 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/16/2014 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/23/2014 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2/2014 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/9/2014 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/16/2014 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/23/2014 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/30/2014 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/6/2014 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/13/2014 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/20/2014 0:00,0,0,0,0,1.15E-05,0,0,0,0,0,0,0,0,0,0,0,0
4/27/2014 0:00,0,4.33E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/4/2014 0:00,0,0,0,4.32E-06,4.32E-06,0,0,0,0,0,0,0,0,0,0,0,0
5/11/2014 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98E-06,0
5/18/2014 0:00,0,0,0,0,3.62E-06,0,0,0,3.62E-06,0,0,0,0,0,0,0,0
5/25/2014 0:00,3.59E-06,0,0,1.08E-05,1.44E-05,7.19E-06,0,0,0,3.59E-06,0,0,0,3.59E-06,0,7.19E-06,0
6/1/2014 0:00,0,0,0,3.38E-06,3.38E-06,0,0,3.38E-06,0,0,0,0,0,0,0,3.38E-06,0
6/8/2014 0:00,3.23E-06,0,0,0,0,0,0,3.23E-06,0,0,0,0,0,0,0,0,0
6/15/2014 0:00,0,0,0,6.40E-06,9.60E-06,0,0,0,0,3.20E-06,0,0,0,0,0,0,0
6/22/2014 0:00,6.84E-06,0,0,6.84E-06,1.37E-05,6.84E-06,0,3.42E-06,0,0,0,0,0,0,0,0,119
6/29/2014 0:00,6.51E-06,0,0,9.77E-06,3.26E-06,0,0,0,0,3.26E-06,0,0,0,0,0,0,61
7/6/2014 0:00,0,3.23E-06,0,0,6.46E-06,3.23E-06,0,0,3.23E-06,0,0,3.23E-06,0,0,0,3.23E-06,121
