index,self,others,symptoms,News or awareness tweet,cdc or gov,joke or irrelevant,other related,New Suspected With Lag
6/15/2014,0,0,0,0.071428571,0.047619048,0,0.023809524,119
6/22/2014,0.047619048,0,0,0.095238095,0.095238095,0.047619048,0,61
6/29/2014,0.047619048,0,0,0.023809524,0.071428571,0,0.023809524,121
7/6/2014,0,0.023809524,0,0.047619048,0.023809524,0.119047619,0.047619048,202
7/13/2014,0.023809524,0.071428571,0,0.238095238,0.30952381,0.119047619,0.357142857,140
7/20/2014,0.142857143,0.095238095,0.023809524,0.166666667,0.119047619,0.238095238,0.357142857,390
7/27/2014,0.19047619,0.023809524,0.166666667,0.404761905,0,0.285714286,0.238095238,563
8/3/2014,0.142857143,0.119047619,0.047619048,0.238095238,0.095238095,0.357142857,0.166666667,953
8/10/2014,0.071428571,0.071428571,0.047619048,0.119047619,0.119047619,0.166666667,0.357142857,1174
8/17/2014,0.214285714,0.095238095,0.095238095,0.119047619,0.095238095,0.30952381,0.285714286,356
8/24/2014,0.285714286,0.19047619,0.119047619,0.095238095,0.071428571,0.261904762,0.238095238,762
8/31/2014,0.357142857,0.380952381,0.261904762,0.19047619,0,0.428571429,0.428571429,530
9/7/2014,0.452380952,0.238095238,0.023809524,0.071428571,0,0.523809524,0.761904762,906
9/14/2014,0.666666667,0.333333333,0.19047619,0.023809524,0.119047619,0.428571429,0.595238095,1029
9/21/2014,0.404761905,0.333333333,0.142857143,0.095238095,0.119047619,0.785714286,0.833333333,730
9/28/2014,0.547619048,0.452380952,0.30952381,0.333333333,0.047619048,1.19047619,1.642857143,2437
10/5/2014,0.30952381,0.238095238,0.119047619,0.404761905,0.119047619,1.738095238,0.619047619,1380
10/12/2014,0.69047619,0.214285714,0.047619048,0.023809524,0.023809524,0.357142857,0.404761905,1371
10/19/2014,0.428571429,0.142857143,0.071428571,0.166666667,0.023809524,0.380952381,0.261904762,1363
10/26/2014,0.261904762,0.095238095,0.047619048,0.142857143,0,0.30952381,0.285714286,1163
11/2/2014,0.214285714,0.095238095,0,0.047619048,0,0.285714286,0.119047619,1036
11/9/2014,0.285714286,0.023809524,0.047619048,0,0.047619048,0.19047619,0.476190476,3984
11/30/2014,0.047619048,0,0.023809524,0.023809524,0.023809524,0.023809524,0.023809524,1679
12/7/2014,0.071428571,0,0,0.047619048,0,0.023809524,0.119047619,1661
12/21/2014,0.071428571,0.047619048,0.071428571,0,0.047619048,0.166666667,0.238095238,239
