Predicted	Real																	
118.7737498	119																	
145.7584836	61																	
159.9542185	121																	
205.5729957	202																	
375.217885	140																	
522.0684487	390																	
483.0983433	563																	
762.8925308	953																	
766.9408974	1174																	
538.7224472	356																	
Self reporting sick with Chikungunya virus	Reporting others are sick with Chikungunya virus	Someone (including self) is showing symptoms. Maybe Chikungunya?	Country/City/State Case Counts	News or awareness tweet	CDC or government agency awareness	People reporting mosquito bites (no symptoms yet)	Joke or Irrelevant tweet	People who say they want Chikungunya/or wish it on others	Chikungunya mentioned but in no particular context	Chikungunya mentioned but unclear whether the person has Chikungunya	Song Related	People Who Don’t Have Chikungunya but are afraid of getting it	People Who Don't have Chikungunya	Debate over Spelling/ Comments on Pronunciation	Chikungunya Braclet	Not clear why tweet was selected	Educational 	new suspected
0	0	0	41.18046866	0	0	0	47.39181649	0	0	20.40708274	39.89213544	0	0	0	0	0	0	
