Predicted	Real
183.04230369	119.0
178.238258025	61.0
179.937749309	121.0
244.69130907	202.0
550.880144249	140.0
586.826855154	390.0
505.602345204	563.0
451.305310939	953.0
559.360175338	1174.0
540.291207282	356.0
477.302032861	762.0
721.138020618	530.0
1062.22782606	906.0
868.456258486	1029.0
1220.90111601	730.0
2142.79908771	2437.0
1362.5294015	1380.0
663.312214446	1371.0
545.160147069	1363.0
541.843484505	1163.0
369.329487857	1036.0
672.708196709	3984.0
188.058457879	1679.0
280.001694267	1661.0
438.610090094	239.0
self	others	symptoms	News or awareness tweet	cdc or gov	joke or irrelevant	other related	New Suspected With Lag	
0.0	0.0	0.0	65.1956428567	0.0	341.069757218	949.105073603	
