Predicted	Real
-24.5096949324	119
18.0620380884	61
18.6525170233	121
35.5213424596	202
285.557891717	140
435.920963362	390
408.198713835	563
337.790540022	953
345.703120375	1174
473.418319438	356
486.031629395	762
750.803470881	530
1117.12286711	906
1154.37231805	1029
1220.08773393	730
2091.42886342	2437
1315.26218333	1380
1009.89093388	1371
675.549302654	1363
516.580531393	1163
341.912341628	1036
636.292060711	3984
27.1440253743	1679
119.0191139	1661
257.835642191	239
self	others	symptoms	News or awareness tweet	cdc or gov	joke or irrelevant	other related	New Suspected With Lag	
21.5811059779	0.0	0.0	0.0	0.0	8.49150835102	17.5734956369	
