	Total Tweet Count
2014-01-04 19:00:00	5992
2014-01-11 19:00:00	6613
2014-01-18 19:00:00	6156
2014-01-25 19:00:00	5737
2014-02-01 19:00:00	6936
2014-02-08 19:00:00	6196
2014-02-15 19:00:00	7314
2014-02-22 19:00:00	8171
2014-03-01 19:00:00	7519
2014-03-08 19:00:00	7586
2014-03-15 20:00:00	7822
2014-03-22 20:00:00	7386
2014-03-29 20:00:00	8906
2014-04-05 20:00:00	8563
2014-04-12 20:00:00	21361
2014-04-19 20:00:00	23721
2014-04-26 20:00:00	20364
2014-05-03 20:00:00	20350
2014-05-10 20:00:00	21243
2014-05-17 20:00:00	22254
2014-05-24 20:00:00	20389
2014-05-31 20:00:00	20587
2014-06-07 20:00:00	20663
2014-06-14 20:00:00	19101
2014-06-21 20:00:00	18015
2014-06-28 20:00:00	20550
2014-07-05 20:00:00	21522
2014-07-12 20:00:00	20479
2014-07-19 20:00:00	20438
2014-07-26 20:00:00	21029
2014-08-02 20:00:00	18409
2014-08-09 20:00:00	17381
2014-08-16 20:00:00	16492
2014-08-23 20:00:00	18951
2014-08-30 20:00:00	16896
2014-09-06 20:00:00	15298
2014-09-13 20:00:00	15564
2014-09-20 20:00:00	16142
2014-09-27 20:00:00	11429
2014-10-04 20:00:00	14898
2014-10-11 20:00:00	14632
2014-10-18 20:00:00	13229
2014-10-25 20:00:00	12649
2014-11-01 20:00:00	16374
2014-11-08 19:00:00	15065
2014-11-15 19:00:00	4784
2014-11-22 19:00:00	14830
2014-11-29 19:00:00	14874
2014-12-06 19:00:00	13164
2014-12-13 19:00:00	12170
2014-12-20 19:00:00	9576
2014-12-27 19:00:00	8959
2015-01-03 19:00:00	9201
2015-01-10 19:00:00	9983
