	Total Tweet Count
2014-01-04 19:00:00	94073
2014-01-11 19:00:00	100720
2014-01-18 19:00:00	96179
2014-01-25 19:00:00	87839
2014-02-01 19:00:00	88913
2014-02-08 19:00:00	85287
2014-02-15 19:00:00	92645
2014-02-22 19:00:00	91381
2014-03-01 19:00:00	89866
2014-03-08 19:00:00	90660
2014-03-15 20:00:00	87847
2014-03-22 20:00:00	91209
2014-03-29 20:00:00	98857
2014-04-05 20:00:00	93279
2014-04-12 20:00:00	214835
2014-04-19 20:00:00	259928
2014-04-26 20:00:00	230718
2014-05-03 20:00:00	231385
2014-05-10 20:00:00	251446
2014-05-17 20:00:00	276450
2014-05-24 20:00:00	277902
2014-05-31 20:00:00	295452
2014-06-07 20:00:00	309692
2014-06-14 20:00:00	312461
2014-06-21 20:00:00	292454
2014-06-28 20:00:00	306989
2014-07-05 20:00:00	309321
2014-07-12 20:00:00	315824
2014-07-19 20:00:00	304768
2014-07-26 20:00:00	319995
2014-08-02 20:00:00	334169
2014-08-09 20:00:00	281297
2014-08-16 20:00:00	276196
2014-08-23 20:00:00	265593
2014-08-30 20:00:00	255953
2014-09-06 20:00:00	228440
2014-09-13 20:00:00	202398
2014-09-20 20:00:00	176247
2014-09-27 20:00:00	164752
2014-10-04 20:00:00	175088
2014-10-11 20:00:00	175610
2014-10-18 20:00:00	146095
2014-10-25 20:00:00	135515
2014-11-01 20:00:00	144139
2014-11-08 19:00:00	129788
2014-11-15 19:00:00	43840
2014-11-22 19:00:00	149012
2014-11-29 19:00:00	143862
2014-12-06 19:00:00	129754
2014-12-13 19:00:00	139904
2014-12-20 19:00:00	147978
2014-12-27 19:00:00	144539
2015-01-03 19:00:00	139955
2015-01-10 19:00:00	135035
