	Total Tweet Count
2014-01-04 19:00:00	11623
2014-01-11 19:00:00	11717
2014-01-18 19:00:00	9529
2014-01-25 19:00:00	9448
2014-02-01 19:00:00	9074
2014-02-08 19:00:00	8890
2014-02-15 19:00:00	10138
2014-02-22 19:00:00	8331
2014-03-01 19:00:00	8959
2014-03-08 19:00:00	9162
2014-03-15 20:00:00	8438
2014-03-22 20:00:00	6181
2014-03-29 20:00:00	21
2014-04-05 20:00:00	6
2014-04-12 20:00:00	26
2014-04-19 20:00:00	34
2014-04-26 20:00:00	32
2014-05-03 20:00:00	70
2014-05-10 20:00:00	27
2014-05-17 20:00:00	73
2014-05-24 20:00:00	264
2014-05-31 20:00:00	68
2014-06-07 20:00:00	69
2014-06-14 20:00:00	61
2014-06-21 20:00:00	28
2014-06-28 20:00:00	54
2014-07-05 20:00:00	62
2014-07-12 20:00:00	48
2014-07-19 20:00:00	39
2014-07-26 20:00:00	55
2014-08-02 20:00:00	47
2014-08-09 20:00:00	65
2014-08-16 20:00:00	39
2014-08-23 20:00:00	33
2014-08-30 20:00:00	66
2014-09-06 20:00:00	44
2014-09-13 20:00:00	44
2014-09-20 20:00:00	51
2014-09-27 20:00:00	16
2014-10-04 20:00:00	62
2014-10-11 20:00:00	19
2014-10-18 20:00:00	38
2014-10-25 20:00:00	43
2014-11-01 20:00:00	20
2014-11-08 19:00:00	39
2014-11-15 19:00:00	9
2014-11-22 19:00:00	28
2014-11-29 19:00:00	32
2014-12-06 19:00:00	28
2014-12-13 19:00:00	18
2014-12-20 19:00:00	40
2014-12-27 19:00:00	61
2015-01-03 19:00:00	42
2015-01-10 19:00:00	11
