	Total Tweet Count
2014-01-04 19:00:00	99704
2014-01-11 19:00:00	105824
2014-01-18 19:00:00	99552
2014-01-25 19:00:00	91550
2014-02-01 19:00:00	91051
2014-02-08 19:00:00	87981
2014-02-15 19:00:00	95469
2014-02-22 19:00:00	91541
2014-03-01 19:00:00	91306
2014-03-08 19:00:00	92236
2014-03-15 20:00:00	88463
2014-03-22 20:00:00	90004
2014-03-29 20:00:00	89972
2014-04-05 20:00:00	84722
2014-04-12 20:00:00	193500
2014-04-19 20:00:00	236241
2014-04-26 20:00:00	210386
2014-05-03 20:00:00	211105
2014-05-10 20:00:00	230230
2014-05-17 20:00:00	254269
2014-05-24 20:00:00	257777
2014-05-31 20:00:00	274933
2014-06-07 20:00:00	289098
2014-06-14 20:00:00	293421
2014-06-21 20:00:00	274467
2014-06-28 20:00:00	286493
2014-07-05 20:00:00	287861
2014-07-12 20:00:00	295393
2014-07-19 20:00:00	284369
2014-07-26 20:00:00	299021
2014-08-02 20:00:00	315807
2014-08-09 20:00:00	263981
2014-08-16 20:00:00	259743
2014-08-23 20:00:00	246675
2014-08-30 20:00:00	239123
2014-09-06 20:00:00	213186
2014-09-13 20:00:00	186878
2014-09-20 20:00:00	160156
2014-09-27 20:00:00	153339
2014-10-04 20:00:00	160252
2014-10-11 20:00:00	160997
2014-10-18 20:00:00	132904
2014-10-25 20:00:00	122909
2014-11-01 20:00:00	127785
2014-11-08 19:00:00	114762
2014-11-15 19:00:00	39065
2014-11-22 19:00:00	134210
2014-11-29 19:00:00	129020
2014-12-06 19:00:00	116618
2014-12-13 19:00:00	127752
2014-12-20 19:00:00	138442
2014-12-27 19:00:00	135641
2015-01-03 19:00:00	130796
2015-01-10 19:00:00	125063
