	Total Tweet Count
2014-01-04 19:00:00	105696
2014-01-11 19:00:00	112437
2014-01-18 19:00:00	105708
2014-01-25 19:00:00	97287
2014-02-01 19:00:00	97987
2014-02-08 19:00:00	94177
2014-02-15 19:00:00	102783
2014-02-22 19:00:00	99712
2014-03-01 19:00:00	98825
2014-03-08 19:00:00	99822
2014-03-15 20:00:00	96285
2014-03-22 20:00:00	97390
2014-03-29 20:00:00	98878
2014-04-05 20:00:00	93285
2014-04-12 20:00:00	214861
2014-04-19 20:00:00	259962
2014-04-26 20:00:00	230750
2014-05-03 20:00:00	231455
2014-05-10 20:00:00	251473
2014-05-17 20:00:00	276523
2014-05-24 20:00:00	278166
2014-05-31 20:00:00	295520
2014-06-07 20:00:00	309761
2014-06-14 20:00:00	312522
2014-06-21 20:00:00	292482
2014-06-28 20:00:00	307043
2014-07-05 20:00:00	309383
2014-07-12 20:00:00	315872
2014-07-19 20:00:00	304807
2014-07-26 20:00:00	320050
2014-08-02 20:00:00	334216
2014-08-09 20:00:00	281362
2014-08-16 20:00:00	276235
2014-08-23 20:00:00	265626
2014-08-30 20:00:00	256019
2014-09-06 20:00:00	228484
2014-09-13 20:00:00	202442
2014-09-20 20:00:00	176298
2014-09-27 20:00:00	164768
2014-10-04 20:00:00	175150
2014-10-11 20:00:00	175629
2014-10-18 20:00:00	146133
2014-10-25 20:00:00	135558
2014-11-01 20:00:00	144159
2014-11-08 19:00:00	129827
2014-11-15 19:00:00	43849
2014-11-22 19:00:00	149040
2014-11-29 19:00:00	143894
2014-12-06 19:00:00	129782
2014-12-13 19:00:00	139922
2014-12-20 19:00:00	148018
2014-12-27 19:00:00	144600
2015-01-03 19:00:00	139997
2015-01-10 19:00:00	135046
