	Chikungunya	Chikv	rash	high fever	joint pain	nausea	vomit	photophobia	arthralgia	Dengue	flu	sick	cough	
2014-01-04 19:00:00	0	0	5	0	0	1	0	0	0	0	3	32	2	
2014-01-11 19:00:00	0	0	8	0	0	1	1	0	0	0	1	28	4	
2014-01-18 19:00:00	0	0	4	0	0	0	1	0	0	2	0	22	1	
2014-01-25 19:00:00	0	0	2	0	0	0	2	0	0	1	1	19	5	
2014-02-01 19:00:00	0	0	1	1	0	2	3	0	0	3	0	21	2	
2014-02-08 19:00:00	0	0	0	0	0	1	1	0	0	2	2	13	2	
2014-02-15 19:00:00	0	0	3	0	0	1	0	0	0	2	0	25	3	
2014-02-22 19:00:00	0	0	0	0	0	0	1	0	0	0	1	22	3	
2014-03-01 19:00:00	0	0	2	0	0	1	1	0	0	0	1	26	2	
2014-03-08 19:00:00	0	0	1	0	0	0	0	0	0	0	0	23	2	
2014-03-15 20:00:00	0	0	1	0	0	0	1	0	0	0	0	28	1	
2014-03-22 20:00:00	0	0	4	0	0	0	3	0	0	0	0	21	1	
2014-03-29 20:00:00	0	0	1	0	0	1	1	0	0	2	0	21	3	
2014-04-05 20:00:00	0	0	1	0	0	0	2	0	0	2	1	17	2	
2014-04-12 20:00:00	0	0	5	0	0	1	3	0	0	3	3	24	13	
2014-04-19 20:00:00	3	0	7	0	0	0	6	0	0	1	4	32	10	
2014-04-26 20:00:00	1	0	2	0	0	2	3	0	0	1	2	44	6	
2014-05-03 20:00:00	1	0	2	0	0	1	4	0	0	2	2	30	8	
2014-05-10 20:00:00	1	0	3	0	0	2	3	0	0	3	1	36	5	
2014-05-17 20:00:00	2	0	5	0	0	0	6	0	0	1	0	45	10	
2014-05-24 20:00:00	14	0	8	0	0	1	0	0	0	2	2	55	9	
2014-05-31 20:00:00	5	0	9	0	0	1	3	0	0	2	3	41	3	
2014-06-07 20:00:00	2	0	3	0	0	1	3	0	0	3	3	54	7	
2014-06-14 20:00:00	5	0	8	0	0	2	3	0	0	2	1	36	4	
2014-06-21 20:00:00	6	0	9	0	0	2	5	0	0	6	4	44	6	
2014-06-28 20:00:00	7	0	9	0	0	1	4	0	0	3	2	40	12	
2014-07-05 20:00:00	11	0	5	0	0	0	5	0	0	3	3	49	6	
2014-07-12 20:00:00	37	0	7	0	0	1	4	0	0	6	1	55	15	
2014-07-19 20:00:00	33	0	12	0	0	1	1	0	0	4	1	52	4	
2014-07-26 20:00:00	45	0	6	0	0	1	5	0	0	9	3	43	10	
2014-08-02 20:00:00	36	0	4	0	1	3	6	0	0	9	0	47	12	
2014-08-09 20:00:00	32	0	8	0	0	0	6	0	0	10	3	51	7	
2014-08-16 20:00:00	43	0	2	0	0	0	2	0	0	6	2	52	9	
2014-08-23 20:00:00	44	0	11	0	0	2	3	0	0	8	1	45	5	
2014-08-30 20:00:00	69	0	10	0	0	3	2	0	0	14	0	51	8	
2014-09-06 20:00:00	72	0	13	0	0	0	2	0	0	14	3	57	9	
2014-09-13 20:00:00	75	0	10	0	0	1	4	0	0	7	1	34	13	
2014-09-20 20:00:00	89	0	12	0	0	0	1	0	0	8	1	41	2	
2014-09-27 20:00:00	128	0	4	0	0	0	0	0	0	23	5	29	5	
2014-10-04 20:00:00	90	0	12	0	0	0	1	0	0	4	3	33	5	
2014-10-11 20:00:00	65	0	9	0	0	2	1	0	0	8	0	19	4	
2014-10-18 20:00:00	50	1	6	0	0	1	1	0	0	4	2	26	3	
2014-10-25 20:00:00	45	0	6	0	0	0	0	0	0	4	1	26	5	
2014-11-01 20:00:00	31	0	6	0	0	2	3	0	0	5	1	26	5	
2014-11-08 19:00:00	21	0	3	0	0	1	0	0	0	4	1	18	5	
2014-11-15 19:00:00	4	0	2	0	0	0	1	0	0	0	0	9	2	
2014-11-22 19:00:00	12	0	6	0	0	3	0	0	0	1	0	29	5	
2014-11-29 19:00:00	7	0	1	0	0	3	2	0	0	1	1	29	5	
2014-12-06 19:00:00	5	0	3	0	0	0	2	0	0	1	4	24	3	
2014-12-13 19:00:00	6	0	3	0	0	2	2	0	0	2	2	26	2	
2014-12-20 19:00:00	10	0	3	0	0	0	1	0	0	1	0	33	2	
2014-12-27 19:00:00	15	0	2	0	0	0	4	0	0	2	2	30	5	
2015-01-03 19:00:00	12	0	3	0	0	1	3	0	0	2	2	32	7	
2015-01-10 19:00:00	3	0	2	0	0	0	0	0	0	0	1	35	2	
