	Total Tweet Count
1/5/2014 0:00	105696
1/12/2014 0:00	112437
1/19/2014 0:00	105708
1/26/2014 0:00	97287
2/2/2014 0:00	97987
2/9/2014 0:00	94177
2/16/2014 0:00	102783
2/23/2014 0:00	99712
3/2/2014 0:00	98825
3/9/2014 0:00	99822
3/16/2014 0:00	96285
3/23/2014 0:00	97390
3/30/2014 0:00	98878
4/6/2014 0:00	93285
4/13/2014 0:00	214861
4/20/2014 0:00	259962
4/27/2014 0:00	230750
5/4/2014 0:00	231455
5/11/2014 0:00	251473
5/18/2014 0:00	276523
5/25/2014 0:00	278166
6/1/2014 0:00	295520
6/8/2014 0:00	309761
6/15/2014 0:00	312522
6/22/2014 0:00	292482
6/29/2014 0:00	307043
7/6/2014 0:00	309383
7/13/2014 0:00	315872
7/20/2014 0:00	304807
7/27/2014 0:00	320050
8/3/2014 0:00	334216
8/10/2014 0:00	281362
8/17/2014 0:00	276235
8/24/2014 0:00	265626
8/31/2014 0:00	256019
9/7/2014 0:00	228484
9/14/2014 0:00	202442
9/21/2014 0:00	176298
9/28/2014 0:00	164768
10/5/2014 0:00	175150
10/12/2014 0:00	175629
10/19/2014 0:00	146133
10/26/2014 0:00	135558
11/2/2014 0:00	144159
11/9/2014 0:00	129827
11/16/2014 0:00	43849
11/23/2014 0:00	149040
11/30/2014 0:00	143894
12/7/2014 0:00	129782
12/14/2014 0:00	139922
12/21/2014 0:00	148018
12/28/2014 0:00	144600
1/4/2015 0:00	139997
1/11/2015 0:00	135046
